Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick,Neighborhood,Date
1,114300.0,1790.0,2.0,2.0,2.0,No,East,2014-11-16
2,114200.0,2030.0,4.0,2.0,3.0,No,East,2014-07-14
3,114800.0,1740.0,3.0,2.0,1.0,No,East,2014-09-22
4,94700.0,1980.0,3.0,2.0,3.0,No,East,2013-07-12
5,119800.0,2130.0,3.0,3.0,3.0,No,East,2013-12-26
6,114600.0,1780.0,3.0,2.0,2.0,No,North,2013-01-10
7,151600.0,1830.0,3.0,3.0,3.0,Yes,West,2013-10-05
8,150700.0,2160.0,4.0,2.0,2.0,No,West,2014-08-23
9,119200.0,2110.0,4.0,2.0,3.0,No,East,2013-03-12
10,104000.0,1730.0,3.0,3.0,3.0,No,East,2014-04-18
11,132500.0,2030.0,3.0,2.0,3.0,Yes,East,2014-08-24
12,123000.0,1870.0,2.0,2.0,2.0,Yes,East,2014-02-01
13,102600.0,1910.0,3.0,2.0,4.0,No,North,2013-11-11
14,126300.0,2150.0,3.0,3.0,5.0,Yes,North,2014-05-02
15,176800.0,2590.0,4.0,3.0,4.0,No,West,2014-07-06
16,145800.0,1780.0,4.0,2.0,1.0,No,West,2013-03-29
17,147100.0,2190.0,3.0,3.0,4.0,Yes,East,2013-06-24
18,83600.0,1990.0,3.0,3.0,4.0,No,North,2014-08-24
19,111400.0,1700.0,2.0,2.0,1.0,Yes,East,2014-11-09
20,167200.0,1920.0,3.0,3.0,2.0,Yes,West,2014-06-22
21,116200.0,1790.0,3.0,2.0,3.0,No,East,2013-03-14
22,113800.0,2000.0,3.0,2.0,4.0,No,North,2013-04-26
23,91700.0,1690.0,3.0,2.0,3.0,No,North,2014-03-08
24,106100.0,1820.0,3.0,2.0,3.0,Yes,North,2014-03-25
25,156400.0,2210.0,4.0,3.0,2.0,Yes,East,2013-04-10
26,149300.0,2290.0,4.0,3.0,3.0,No,North,2013-06-27
27,137000.0,2000.0,4.0,2.0,3.0,No,West,2014-10-22
28,99300.0,1700.0,3.0,2.0,2.0,No,East,2013-05-28
29,69100.0,1600.0,2.0,2.0,3.0,No,North,2014-02-28
30,188000.0,2040.0,4.0,3.0,1.0,Yes,West,2013-10-16
31,182000.0,2250.0,4.0,3.0,3.0,Yes,West,2013-09-23
32,112300.0,1930.0,2.0,2.0,2.0,Yes,North,2014-11-29
33,135000.0,2250.0,3.0,3.0,3.0,Yes,East,2014-10-02
34,139600.0,2280.0,5.0,3.0,4.0,Yes,East,2014-06-29
35,117800.0,2000.0,2.0,2.0,3.0,No,North,2014-06-28
36,117100.0,2080.0,3.0,3.0,3.0,No,North,2013-09-02
37,117500.0,1880.0,2.0,2.0,2.0,No,North,2013-06-01
38,147000.0,2420.0,4.0,3.0,4.0,No,West,2014-11-07
39,131300.0,1720.0,3.0,2.0,1.0,No,West,2014-05-26
40,108200.0,1740.0,3.0,2.0,2.0,No,North,2014-04-05
41,106600.0,1560.0,2.0,2.0,1.0,No,East,2013-07-03
42,133600.0,1840.0,4.0,3.0,2.0,No,West,2013-01-29
43,105600.0,1990.0,2.0,2.0,3.0,No,East,2013-05-09
44,154000.0,1920.0,3.0,2.0,1.0,Yes,East,2013-05-09
45,166500.0,1940.0,3.0,3.0,2.0,Yes,West,2013-02-23
46,103200.0,1810.0,3.0,2.0,3.0,No,East,2014-07-05
47,129800.0,1990.0,2.0,3.0,2.0,No,North,2014-05-04
48,90300.0,2050.0,3.0,2.0,6.0,No,North,2013-10-01
49,115900.0,1980.0,2.0,2.0,2.0,No,East,2013-12-02
50,107500.0,1700.0,3.0,2.0,3.0,Yes,North,2014-01-24
51,151100.0,2100.0,3.0,2.0,3.0,Yes,East,2014-09-10
52,91100.0,1860.0,2.0,2.0,3.0,No,North,2013-02-12
53,117400.0,2150.0,2.0,3.0,4.0,No,North,2014-03-19
54,130800.0,2100.0,3.0,2.0,3.0,No,North,2014-06-28
55,81300.0,1650.0,3.0,2.0,3.0,No,North,2013-09-15
56,125700.0,1720.0,2.0,2.0,2.0,Yes,East,2013-11-18
57,140900.0,2190.0,3.0,2.0,3.0,Yes,East,2013-02-27
58,152300.0,2240.0,4.0,3.0,3.0,No,West,2013-10-19
59,138100.0,1840.0,3.0,3.0,1.0,No,West,2013-04-30
60,155400.0,2090.0,4.0,2.0,1.0,No,West,2014-03-07
61,180900.0,2200.0,3.0,3.0,1.0,No,West,2013-03-24
62,100900.0,1610.0,2.0,2.0,2.0,No,North,2013-04-02
63,161300.0,2220.0,4.0,3.0,2.0,No,West,2014-02-03
64,120500.0,1910.0,2.0,3.0,2.0,No,East,2014-09-04
65,130300.0,1860.0,3.0,2.0,2.0,No,West,2014-07-20
66,111100.0,1450.0,2.0,2.0,1.0,Yes,North,2014-09-26
67,126200.0,2210.0,3.0,3.0,4.0,No,North,2013-03-26
68,151900.0,2040.0,4.0,3.0,3.0,No,East,2013-07-23
69,93600.0,2140.0,3.0,2.0,4.0,No,North,2013-11-21
70,165600.0,2080.0,4.0,3.0,3.0,No,West,2013-02-17
71,166700.0,1950.0,3.0,3.0,3.0,Yes,West,2014-10-02
72,157600.0,2160.0,4.0,2.0,1.0,No,West,2013-05-12
73,107300.0,1650.0,3.0,2.0,3.0,No,North,2013-06-30
74,125700.0,2040.0,3.0,3.0,2.0,No,East,2013-05-24
75,144200.0,2140.0,3.0,3.0,3.0,No,West,2014-10-23
76,106900.0,1900.0,2.0,2.0,2.0,No,North,2013-08-16
77,129800.0,1930.0,3.0,2.0,2.0,No,West,2014-01-09
78,176500.0,2280.0,4.0,3.0,3.0,Yes,West,2014-07-15
79,121300.0,2130.0,3.0,2.0,3.0,No,North,2013-11-02
80,143600.0,1780.0,4.0,2.0,1.0,No,West,2014-08-05
81,143400.0,2190.0,3.0,3.0,4.0,Yes,East,2013-06-19
82,184300.0,2140.0,4.0,3.0,2.0,Yes,West,2014-11-07
83,164800.0,2050.0,2.0,2.0,1.0,Yes,West,2014-03-25
84,147700.0,2410.0,3.0,3.0,2.0,No,East,2013-04-06
85,90500.0,1520.0,2.0,2.0,3.0,No,North,2013-07-17
86,188300.0,2250.0,4.0,3.0,2.0,Yes,West,2014-08-30
87,102700.0,1900.0,4.0,2.0,4.0,No,North,2013-09-14
88,172500.0,1880.0,3.0,3.0,1.0,Yes,West,2014-11-22
89,127700.0,1930.0,3.0,3.0,2.0,No,North,2013-10-20
90,97800.0,2010.0,2.0,2.0,4.0,No,North,2014-01-23
91,143100.0,1920.0,4.0,2.0,2.0,No,West,2014-09-03
92,116500.0,2150.0,3.0,2.0,2.0,No,East,2014-07-09
93,142600.0,2110.0,3.0,2.0,2.0,No,West,2014-01-04
94,157100.0,2080.0,3.0,3.0,2.0,No,East,2013-07-21
95,160600.0,2150.0,4.0,3.0,3.0,Yes,West,2014-01-19
96,152500.0,1970.0,2.0,2.0,1.0,Yes,West,2014-05-28
97,133300.0,2440.0,3.0,3.0,3.0,No,East,2014-01-06
98,126800.0,2000.0,2.0,2.0,1.0,Yes,East,2014-07-10
99,145500.0,2060.0,3.0,2.0,1.0,No,West,2014-01-19
100,171000.0,2080.0,3.0,3.0,2.0,Yes,West,2013-01-24
101,103200.0,2010.0,3.0,2.0,5.0,No,North,2014-12-01
102,123100.0,2260.0,3.0,3.0,5.0,No,East,2013-05-11
103,136800.0,2410.0,3.0,3.0,4.0,No,East,2014-01-13
104,211200.0,2440.0,4.0,3.0,3.0,Yes,West,2013-04-09
105,82300.0,1910.0,3.0,2.0,4.0,No,East,2014-07-29
106,146900.0,2530.0,4.0,3.0,4.0,No,West,2013-05-04
107,108500.0,2130.0,3.0,2.0,4.0,No,North,2014-08-18
108,134000.0,1890.0,3.0,2.0,1.0,Yes,East,2013-05-29
109,117000.0,1990.0,3.0,3.0,3.0,Yes,East,2013-07-29
110,108700.0,2110.0,3.0,2.0,3.0,No,East,2014-07-17
111,111600.0,1710.0,2.0,2.0,1.0,No,North,2014-02-16
112,114900.0,1740.0,2.0,2.0,2.0,No,North,2013-02-11
113,123600.0,1940.0,2.0,2.0,2.0,Yes,East,2013-02-28
114,115700.0,2000.0,3.0,2.0,3.0,Yes,North,2013-02-06
115,124500.0,2010.0,4.0,3.0,2.0,No,East,2013-03-28
116,102500.0,1900.0,3.0,3.0,3.0,No,North,2013-02-13
117,199500.0,2290.0,5.0,4.0,1.0,Yes,West,2013-01-12
118,117800.0,1920.0,3.0,2.0,2.0,No,North,2013-11-04
119,150200.0,1950.0,3.0,2.0,3.0,Yes,North,2013-03-22
120,109700.0,1920.0,2.0,2.0,4.0,No,North,2013-02-02
121,110400.0,1930.0,2.0,3.0,3.0,No,North,2013-07-02
122,105600.0,1930.0,3.0,3.0,3.0,No,East,2013-05-09
123,144800.0,2060.0,2.0,2.0,1.0,Yes,East,2013-10-03
124,119700.0,1900.0,3.0,3.0,3.0,Yes,East,2013-06-24
125,147900.0,2160.0,4.0,3.0,3.0,Yes,East,2014-07-09
126,113500.0,2070.0,2.0,2.0,2.0,No,North,2014-01-07
127,149900.0,2020.0,3.0,3.0,1.0,No,West,2013-07-04
128,124600.0,2250.0,3.0,3.0,4.0,No,North,2014-03-21
129,130427.0,2000.0,,2.0,2.0,No,North,2014-05-04
130,,,,,,Yes,North,2014-08-13
131,119700.0,1900.0,3.0,3.0,3.0,Yes,East,2013-06-24
132,147900.0,2160.0,4.0,3.0,3.0,Yes,East,2014-07-09
133,113500.0,2070.0,2.0,2.0,2.0,No,North,2014-01-07
134,149900.0,2020.0,3.0,3.0,1.0,No,West,2013-07-04
